dist_m,replicate,soil_layer,core,species_name,length_mm
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,2,S,M,Hydrobia_ulvae,3
1400,0,D,P,Nereis_virens,50
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,D,P,Hydrobia_ulvae,5
1400,0,?,U,Nereis_virens,46
1400,0,?,U,Nereis_virens,33
1400,0,?,U,Nereis_virens,30
1500,0,S,U,Gammarus_locusta,7
1500,0,S,U,Hydrobia_ulvae,6
1500,0,S,U,Macoma_balthica,7
1500,0,S,U,Nereis_diversicolor,22
1500,0,S,U,Hydrobia_ulvae,4
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,U,Hydrobia_ulvae,3
1600,0,S,M,Cerastoderma_edule,5
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,S,M,Hydrobia_ulvae,4
1600,0,D,M,Arenicola_marina,90
1600,0,D,M,Hydrobia_ulvae,5
1600,0,D,M,Nereis_virens,37
1600,0,D,M,Hemigropsus_takanoi,4
1600,0,D,M,Nereis_virens,45
1650,0,S,M,Carcinus_maenas,15
1650,0,S,M,Carcinus_maenas,15
1650,0,S,M,Carcinus_maenas,17
1650,0,S,M,Carcinus_maenas,8
1650,0,S,M,Carcinus_maenas,15
1650,0,S,M,Carcinus_maenas,15
1650,0,S,M,Carcinus_maenas,20
1650,0,S,M,Carcinus_maenas,3
1650,0,S,M,Eteone_longa,17
1650,0,S,M,Eteone_longa,14
1650,0,S,M,Eteone_longa,8
1650,0,S,M,Eteone_longa,5
1650,0,S,M,Hydrobia_ulvae,3
1650,0,S,M,Hydrobia_ulvae,4
1650,0,S,M,Hydrobia_ulvae,5
1650,0,S,M,Hydrobia_ulvae,5
1650,0,S,M,Hydrobia_ulvae,11
1650,0,S,M,Hydrobia_ulvae,4
1650,0,S,M,Hydrobia_ulvae,5
1650,0,S,M,Nereis_diversicolor,11
1650,0,D,U,Arenicola_marina,55
1650,0,D,U,Cerastoderma_edule,20
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Hydrobia_ulvae,3
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Lanice_conchilega,15
1700,0,S,U,Macoma_balthica,16
1700,0,S,U,Macoma_balthica,14
1700,0,S,U,Scoloplas_amiger,65
1700,0,S,U,Scoloplas_amiger,40
1700,0,S,U,Scoloplas_amiger,37
1700,0,S,U,Scoloplas_amiger,60
1700,0,S,U,Scoloplas_amiger,20
1700,0,S,U,Scoloplas_amiger,27
1700,0,S,U,Scoloplas_amiger,30
